breakdown step partitionid runtime
InitialComputation 0 229 895
WorkStealingComputation 0 229 1272
InitialComputation 0 230 423
WorkStealingComputation 0 230 1480
InitialComputation 0 231 831
WorkStealingComputation 0 231 1108
InitialComputation 0 232 566
WorkStealingComputation 0 232 1460
InitialComputation 0 233 588
WorkStealingComputation 0 233 1399
InitialComputation 0 234 661
WorkStealingComputation 0 234 1306
InitialComputation 0 235 493
WorkStealingComputation 0 235 1386
InitialComputation 0 236 598
WorkStealingComputation 0 236 1382
InitialComputation 0 237 749
WorkStealingComputation 0 237 1026
InitialComputation 0 238 837
WorkStealingComputation 0 238 1091
InitialComputation 0 239 826
WorkStealingComputation 0 239 1268
InitialComputation 0 240 442
WorkStealingComputation 0 240 1451
InitialComputation 0 241 884
WorkStealingComputation 0 241 1110
InitialComputation 0 242 518
WorkStealingComputation 0 242 1524
InitialComputation 0 243 473
WorkStealingComputation 0 243 1490
InitialComputation 0 244 543
WorkStealingComputation 0 244 1367
InitialComputation 0 245 535
WorkStealingComputation 0 245 1356
InitialComputation 0 246 590
WorkStealingComputation 0 246 1388
InitialComputation 0 247 636
WorkStealingComputation 0 247 1083
InitialComputation 0 248 915
WorkStealingComputation 0 248 1089
InitialComputation 0 249 886
WorkStealingComputation 0 249 1234
InitialComputation 0 250 413
WorkStealingComputation 0 250 1475
InitialComputation 0 251 834
WorkStealingComputation 0 251 1126
InitialComputation 0 252 584
WorkStealingComputation 0 252 1442
InitialComputation 0 253 439
WorkStealingComputation 0 253 1524
InitialComputation 0 254 585
WorkStealingComputation 0 254 1323
InitialComputation 0 255 428
WorkStealingComputation 0 255 1455
InitialComputation 0 256 625
WorkStealingComputation 0 256 1348
InitialComputation 0 257 700
WorkStealingComputation 0 257 1017
InitialComputation 0 258 796
WorkStealingComputation 0 258 1120
InitialComputation 0 259 873
WorkStealingComputation 0 259 1283
InitialComputation 0 260 419
WorkStealingComputation 0 260 1481
InitialComputation 0 261 804
WorkStealingComputation 0 261 1162
InitialComputation 0 262 671
WorkStealingComputation 0 262 1455
InitialComputation 0 263 497
WorkStealingComputation 0 263 1492
