breakdown step partitionid runtime
WorkStealingComputation 0 155 78
InitialComputation 0 156 392
WorkStealingComputation 0 156 51
InitialComputation 0 157 688
WorkStealingComputation 0 157 4
InitialComputation 0 158 1017
WorkStealingComputation 0 158 14
InitialComputation 0 159 448
WorkStealingComputation 0 159 24
InitialComputation 0 160 649
WorkStealingComputation 0 160 64
InitialComputation 0 161 281
WorkStealingComputation 0 161 48
InitialComputation 0 162 464
WorkStealingComputation 0 162 68
InitialComputation 0 163 1492
WorkStealingComputation 0 163 1
InitialComputation 0 164 592
WorkStealingComputation 0 164 6
InitialComputation 0 165 919
WorkStealingComputation 0 165 35
InitialComputation 0 166 568
WorkStealingComputation 0 166 60
InitialComputation 0 167 647
WorkStealingComputation 0 167 47
InitialComputation 0 168 1008
WorkStealingComputation 0 168 9
InitialComputation 0 169 397
WorkStealingComputation 0 169 63
InitialComputation 0 170 667
WorkStealingComputation 0 170 45
InitialComputation 0 171 292
WorkStealingComputation 0 171 3
InitialComputation 0 172 544
WorkStealingComputation 0 172 33
InitialComputation 0 173 1475
WorkStealingComputation 0 173 18
InitialComputation 0 174 496
WorkStealingComputation 0 174 9
InitialComputation 0 175 726
WorkStealingComputation 0 175 96
InitialComputation 0 176 457
WorkStealingComputation 0 176 3
InitialComputation 0 177 692
WorkStealingComputation 0 177 5
InitialComputation 0 178 978
WorkStealingComputation 0 178 56
InitialComputation 0 179 243
WorkStealingComputation 0 179 116
InitialComputation 0 180 703
WorkStealingComputation 0 180 8
InitialComputation 0 181 293
WorkStealingComputation 0 181 9
InitialComputation 0 182 499
WorkStealingComputation 0 182 76
InitialComputation 0 183 1441
WorkStealingComputation 0 183 32
InitialComputation 0 184 506
WorkStealingComputation 0 184 51
InitialComputation 0 185 685
WorkStealingComputation 0 185 115
InitialComputation 0 186 405
WorkStealingComputation 0 186 58
InitialComputation 0 187 674
WorkStealingComputation 0 187 21
InitialComputation 0 188 1026
WorkStealingComputation 0 188 8
InitialComputation 0 189 462
WorkStealingComputation 0 189 29
InitialComputation 0 190 654
WorkStealingComputation 0 190 58
InitialComputation 0 191 316
WorkStealingComputation 0 191 7
InitialComputation 0 192 510
WorkStealingComputation 0 192 65
InitialComputation 0 193 1430
WorkStealingComputation 0 193 58
InitialComputation 0 194 571
WorkStealingComputation 0 194 0
InitialComputation 0 195 719
WorkStealingComputation 0 195 233
InitialComputation 0 196 427
WorkStealingComputation 0 196 31
InitialComputation 0 197 625
WorkStealingComputation 0 197 65
InitialComputation 0 198 979
WorkStealingComputation 0 198 40
InitialComputation 0 199 460
WorkStealingComputation 0 199 30
InitialComputation 0 200 671
WorkStealingComputation 0 200 42
InitialComputation 0 201 293
WorkStealingComputation 0 201 25
InitialComputation 0 202 492
WorkStealingComputation 0 202 113
InitialComputation 0 203 1492
WorkStealingComputation 0 203 5
InitialComputation 0 204 560
WorkStealingComputation 0 204 5
InitialComputation 0 205 818
WorkStealingComputation 0 205 135
InitialComputation 0 206 576
WorkStealingComputation 0 206 53
InitialComputation 0 207 694
WorkStealingComputation 0 207 0
InitialComputation 0 208 950
WorkStealingComputation 0 208 82
InitialComputation 0 209 414
WorkStealingComputation 0 209 58
InitialComputation 0 210 635
WorkStealingComputation 0 210 79
InitialComputation 0 211 215
WorkStealingComputation 0 211 135
InitialComputation 0 212 527
WorkStealingComputation 0 212 0
InitialComputation 0 213 1485
WorkStealingComputation 0 213 13
InitialComputation 0 214 593
WorkStealingComputation 0 214 5
InitialComputation 0 215 742
WorkStealingComputation 0 215 7
InitialComputation 0 216 450
WorkStealingComputation 0 216 51
InitialComputation 0 217 672
WorkStealingComputation 0 217 25
InitialComputation 0 218 999
WorkStealingComputation 0 218 22
InitialComputation 0 219 432
WorkStealingComputation 0 219 41
InitialComputation 0 220 612
WorkStealingComputation 0 220 97
InitialComputation 0 221 228
WorkStealingComputation 0 221 129
InitialComputation 0 222 565
WorkStealingComputation 0 222 21
InitialComputation 0 223 1379
WorkStealingComputation 0 223 112
InitialComputation 0 224 432
WorkStealingComputation 0 224 127
InitialComputation 0 225 713
WorkStealingComputation 0 225 55
InitialComputation 0 226 402
WorkStealingComputation 0 226 43
InitialComputation 0 227 647
WorkStealingComputation 0 227 51
InitialComputation 0 228 1000
WorkStealingComputation 0 228 63
InitialComputation 0 229 356
WorkStealingComputation 0 229 28
InitialComputation 0 230 649
WorkStealingComputation 0 230 60
InitialComputation 0 231 297
WorkStealingComputation 0 231 73
InitialComputation 0 232 547
WorkStealingComputation 0 232 58
InitialComputation 0 233 1465
WorkStealingComputation 0 233 28
InitialComputation 0 234 557
WorkStealingComputation 0 234 5
InitialComputation 0 235 708
WorkStealingComputation 0 235 60
InitialComputation 0 236 399
WorkStealingComputation 0 236 47
InitialComputation 0 237 681
WorkStealingComputation 0 237 16
InitialComputation 0 238 973
WorkStealingComputation 0 238 57
InitialComputation 0 239 333
WorkStealingComputation 0 239 46
InitialComputation 0 240 641
WorkStealingComputation 0 240 72
InitialComputation 0 241 268
WorkStealingComputation 0 241 40
InitialComputation 0 242 485
WorkStealingComputation 0 242 103
InitialComputation 0 243 1466
WorkStealingComputation 0 243 32
InitialComputation 0 244 506
WorkStealingComputation 0 244 60
InitialComputation 0 245 753
WorkStealingComputation 0 245 27
InitialComputation 0 246 401
WorkStealingComputation 0 246 53
InitialComputation 0 247 685
WorkStealingComputation 0 247 10
InitialComputation 0 248 1002
WorkStealingComputation 0 248 30
InitialComputation 0 249 383
WorkStealingComputation 0 249 0
InitialComputation 0 250 684
WorkStealingComputation 0 250 51
InitialComputation 0 251 293
WorkStealingComputation 0 251 5
InitialComputation 0 252 424
WorkStealingComputation 0 252 180
InitialComputation 0 253 1431
WorkStealingComputation 0 253 43
InitialComputation 0 254 481
WorkStealingComputation 0 254 70
InitialComputation 0 255 708
WorkStealingComputation 0 255 50
InitialComputation 0 256 407
WorkStealingComputation 0 256 51
InitialComputation 0 257 757
WorkStealingComputation 0 257 97
InitialComputation 0 258 866
WorkStealingComputation 0 258 153
InitialComputation 0 259 411
WorkStealingComputation 0 259 61
InitialComputation 0 260 672
WorkStealingComputation 0 260 51
InitialComputation 0 261 297
WorkStealingComputation 0 261 11
InitialComputation 0 262 518
WorkStealingComputation 0 262 68
InitialComputation 0 263 1492
WorkStealingComputation 0 263 0
InitialComputation 0 264 496
WorkStealingComputation 0 264 7
InitialComputation 0 265 758
WorkStealingComputation 0 265 13
InitialComputation 0 266 397
WorkStealingComputation 0 266 46
InitialComputation 0 267 619
WorkStealingComputation 0 267 79
InitialComputation 0 268 951
WorkStealingComputation 0 268 81
InitialComputation 0 269 435
WorkStealingComputation 0 269 55
InitialComputation 0 270 696
WorkStealingComputation 0 270 11
InitialComputation 0 271 281
WorkStealingComputation 0 271 16
InitialComputation 0 272 473
WorkStealingComputation 0 272 62
InitialComputation 0 273 1373
WorkStealingComputation 0 273 248
InitialComputation 0 274 533
WorkStealingComputation 0 274 10
InitialComputation 0 275 692
WorkStealingComputation 0 275 80
InitialComputation 0 276 450
WorkStealingComputation 0 276 43
InitialComputation 0 277 604
WorkStealingComputation 0 277 86
InitialComputation 0 278 914
WorkStealingComputation 0 278 116
InitialComputation 0 279 366
WorkStealingComputation 0 279 4
InitialComputation 1 0 554
WorkStealingComputation 1 0 659
InitialComputation 1 1 514
WorkStealingComputation 1 1 628
InitialComputation 1 2 402
WorkStealingComputation 1 2 670
InitialComputation 1 3 448
WorkStealingComputation 1 3 699
InitialComputation 1 4 321
WorkStealingComputation 1 4 680
InitialComputation 1 5 427
WorkStealingComputation 1 5 633
InitialComputation 1 6 418
WorkStealingComputation 1 6 632
InitialComputation 1 7 548
WorkStealingComputation 1 7 626
InitialComputation 1 8 510
WorkStealingComputation 1 8 663
InitialComputation 1 9 608
WorkStealingComputation 1 9 754
InitialComputation 1 10 568
WorkStealingComputation 1 10 674
InitialComputation 1 11 593
WorkStealingComputation 1 11 546
InitialComputation 1 12 394
WorkStealingComputation 1 12 678
InitialComputation 1 13 433
WorkStealingComputation 1 13 705
InitialComputation 1 14 355
WorkStealingComputation 1 14 675
InitialComputation 1 15 404
WorkStealingComputation 1 15 666
InitialComputation 1 16 466
WorkStealingComputation 1 16 620
InitialComputation 1 17 480
WorkStealingComputation 1 17 661
InitialComputation 1 18 478
WorkStealingComputation 1 18 680
InitialComputation 1 19 650
WorkStealingComputation 1 19 691
InitialComputation 1 20 521
WorkStealingComputation 1 20 691
InitialComputation 1 21 516
WorkStealingComputation 1 21 628
InitialComputation 1 22 383
WorkStealingComputation 1 22 686
InitialComputation 1 23 427
WorkStealingComputation 1 23 705
InitialComputation 1 24 318
WorkStealingComputation 1 24 685
InitialComputation 1 25 419
WorkStealingComputation 1 25 643
InitialComputation 1 26 388
WorkStealingComputation 1 26 662
InitialComputation 1 27 477
WorkStealingComputation 1 27 661
InitialComputation 1 28 439
WorkStealingComputation 1 28 706
InitialComputation 1 29 550
WorkStealingComputation 1 29 797
InitialComputation 1 30 498
WorkStealingComputation 1 30 705
InitialComputation 1 31 602
WorkStealingComputation 1 31 531
InitialComputation 1 32 416
WorkStealingComputation 1 32 681
InitialComputation 1 33 417
WorkStealingComputation 1 33 712
InitialComputation 1 34 372
WorkStealingComputation 1 34 627
InitialComputation 1 35 464
WorkStealingComputation 1 35 598
InitialComputation 1 36 416
WorkStealingComputation 1 36 634
InitialComputation 1 37 560
WorkStealingComputation 1 37 592
InitialComputation 1 38 541
WorkStealingComputation 1 38 620
InitialComputation 1 39 643
WorkStealingComputation 1 39 707
InitialComputation 1 40 526
WorkStealingComputation 1 40 681
InitialComputation 1 41 604
WorkStealingComputation 1 41 527
InitialComputation 1 42 402
WorkStealingComputation 1 42 671
InitialComputation 1 43 431
WorkStealingComputation 1 43 708
InitialComputation 1 44 326
WorkStealingComputation 1 44 677
InitialComputation 1 45 435
WorkStealingComputation 1 45 633
InitialComputation 1 46 438
WorkStealingComputation 1 46 615
InitialComputation 1 47 545
WorkStealingComputation 1 47 606
InitialComputation 1 48 502
WorkStealingComputation 1 48 635
InitialComputation 1 49 591
WorkStealingComputation 1 49 771
InitialComputation 1 50 523
WorkStealingComputation 1 50 682
InitialComputation 1 51 488
WorkStealingComputation 1 51 651
InitialComputation 1 52 382
WorkStealingComputation 1 52 689
InitialComputation 1 53 433
WorkStealingComputation 1 53 708
InitialComputation 1 54 329
WorkStealingComputation 1 54 674
InitialComputation 1 55 449
WorkStealingComputation 1 55 612
InitialComputation 1 56 400
WorkStealingComputation 1 56 647
InitialComputation 1 57 579
WorkStealingComputation 1 57 578
InitialComputation 1 58 448
WorkStealingComputation 1 58 694
InitialComputation 1 59 593
WorkStealingComputation 1 59 770
InitialComputation 1 60 500
WorkStealingComputation 1 60 706
InitialComputation 1 61 503
WorkStealingComputation 1 61 641
InitialComputation 1 62 412
WorkStealingComputation 1 62 681
InitialComputation 1 63 408
WorkStealingComputation 1 63 721
InitialComputation 1 64 380
WorkStealingComputation 1 64 631
InitialComputation 1 65 449
WorkStealingComputation 1 65 638
InitialComputation 1 66 410
WorkStealingComputation 1 66 635
InitialComputation 1 67 471
WorkStealingComputation 1 67 680
InitialComputation 1 68 454
WorkStealingComputation 1 68 679
InitialComputation 1 69 584
WorkStealingComputation 1 69 779
InitialComputation 1 70 529
WorkStealingComputation 1 70 675
InitialComputation 1 71 511
WorkStealingComputation 1 71 627
InitialComputation 1 72 379
WorkStealingComputation 1 72 692
InitialComputation 1 73 419
WorkStealingComputation 1 73 710
InitialComputation 1 74 319
WorkStealingComputation 1 74 689
InitialComputation 1 75 477
WorkStealingComputation 1 75 613
InitialComputation 1 76 379
WorkStealingComputation 1 76 671
InitialComputation 1 77 501
WorkStealingComputation 1 77 658
InitialComputation 1 78 553
WorkStealingComputation 1 78 612
InitialComputation 1 79 590
WorkStealingComputation 1 79 773
InitialComputation 1 80 560
WorkStealingComputation 1 80 657
InitialComputation 1 81 497
WorkStealingComputation 1 81 636
InitialComputation 1 82 378
WorkStealingComputation 1 82 718
InitialComputation 1 83 422
WorkStealingComputation 1 83 716
InitialComputation 1 84 370
WorkStealingComputation 1 84 648
InitialComputation 1 85 438
WorkStealingComputation 1 85 620
InitialComputation 1 86 422
WorkStealingComputation 1 86 639
InitialComputation 1 87 575
WorkStealingComputation 1 87 588
InitialComputation 1 88 503
WorkStealingComputation 1 88 640
InitialComputation 1 89 577
WorkStealingComputation 1 89 791
InitialComputation 1 90 511
WorkStealingComputation 1 90 706
InitialComputation 1 91 502
WorkStealingComputation 1 91 636
InitialComputation 1 92 373
WorkStealingComputation 1 92 700
InitialComputation 1 93 428
WorkStealingComputation 1 93 708
InitialComputation 1 94 336
WorkStealingComputation 1 94 679
InitialComputation 1 95 496
WorkStealingComputation 1 95 579
InitialComputation 1 96 398
WorkStealingComputation 1 96 660
InitialComputation 1 97 521
WorkStealingComputation 1 97 644
InitialComputation 1 98 482
WorkStealingComputation 1 98 681
InitialComputation 1 99 582
WorkStealingComputation 1 99 784
InitialComputation 1 100 539
WorkStealingComputation 1 100 684
InitialComputation 1 101 501
WorkStealingComputation 1 101 636
InitialComputation 1 102 410
WorkStealingComputation 1 102 678
InitialComputation 1 103 428
WorkStealingComputation 1 103 708
InitialComputation 1 104 315
WorkStealingComputation 1 104 700
InitialComputation 1 105 454
WorkStealingComputation 1 105 635
InitialComputation 1 106 412
WorkStealingComputation 1 106 650
InitialComputation 1 107 554
WorkStealingComputation 1 107 629
InitialComputation 1 108 498
WorkStealingComputation 1 108 659
InitialComputation 1 109 573
WorkStealingComputation 1 109 782
InitialComputation 1 110 507
WorkStealingComputation 1 110 710
InitialComputation 1 111 589
WorkStealingComputation 1 111 545
InitialComputation 1 112 393
WorkStealingComputation 1 112 702
InitialComputation 1 113 430
