mode breakdown step partitionid runtime
4.Internal+External WorkStealingComputation 0 111 1093
4.Internal+External InitialComputation 0 112 551
4.Internal+External WorkStealingComputation 0 112 1473
4.Internal+External InitialComputation 0 113 598
4.Internal+External WorkStealingComputation 0 113 1365
4.Internal+External InitialComputation 0 114 552
4.Internal+External WorkStealingComputation 0 114 1349
4.Internal+External InitialComputation 0 115 538
4.Internal+External WorkStealingComputation 0 115 1336
4.Internal+External InitialComputation 0 116 723
4.Internal+External WorkStealingComputation 0 116 1357
4.Internal+External InitialComputation 0 117 760
4.Internal+External WorkStealingComputation 0 117 1033
4.Internal+External InitialComputation 0 118 810
4.Internal+External WorkStealingComputation 0 118 1099
4.Internal+External InitialComputation 0 119 751
4.Internal+External WorkStealingComputation 0 119 1322
4.Internal+External InitialComputation 0 120 450
4.Internal+External WorkStealingComputation 0 120 1473
4.Internal+External InitialComputation 0 121 846
4.Internal+External WorkStealingComputation 0 121 1104
4.Internal+External InitialComputation 0 122 535
4.Internal+External WorkStealingComputation 0 122 1488
4.Internal+External InitialComputation 0 123 456
4.Internal+External WorkStealingComputation 0 123 1506
4.Internal+External InitialComputation 0 124 592
4.Internal+External WorkStealingComputation 0 124 1309
4.Internal+External InitialComputation 0 125 541
4.Internal+External WorkStealingComputation 0 125 1342
4.Internal+External InitialComputation 0 126 625
4.Internal+External WorkStealingComputation 0 126 1347
4.Internal+External InitialComputation 0 127 652
4.Internal+External WorkStealingComputation 0 127 1078
4.Internal+External InitialComputation 0 128 778
4.Internal+External WorkStealingComputation 0 128 1145
4.Internal+External InitialComputation 0 129 861
4.Internal+External WorkStealingComputation 0 129 1269
4.Internal+External InitialComputation 0 130 438
4.Internal+External WorkStealingComputation 0 130 1474
4.Internal+External InitialComputation 0 131 767
4.Internal+External WorkStealingComputation 0 131 1191
4.Internal+External InitialComputation 0 132 504
4.Internal+External WorkStealingComputation 0 132 1520
4.Internal+External InitialComputation 0 133 540
4.Internal+External WorkStealingComputation 0 133 1422
4.Internal+External InitialComputation 0 134 532
4.Internal+External WorkStealingComputation 0 134 1378
4.Internal+External InitialComputation 0 135 506
4.Internal+External WorkStealingComputation 0 135 1378
4.Internal+External InitialComputation 0 136 591
4.Internal+External WorkStealingComputation 0 136 1388
4.Internal+External InitialComputation 0 137 687
4.Internal+External WorkStealingComputation 0 137 1043
4.Internal+External InitialComputation 0 138 892
4.Internal+External WorkStealingComputation 0 138 1073
4.Internal+External InitialComputation 0 139 836
4.Internal+External WorkStealingComputation 0 139 1235
4.Internal+External InitialComputation 0 140 615
4.Internal+External WorkStealingComputation 0 140 1450
4.Internal+External InitialComputation 0 141 856
4.Internal+External WorkStealingComputation 0 141 1108
4.Internal+External InitialComputation 0 142 650
4.Internal+External WorkStealingComputation 0 142 1458
4.Internal+External InitialComputation 0 143 577
4.Internal+External WorkStealingComputation 0 143 1385
4.Internal+External InitialComputation 0 144 581
4.Internal+External WorkStealingComputation 0 144 1332
4.Internal+External InitialComputation 0 145 536
4.Internal+External WorkStealingComputation 0 145 1380
4.Internal+External InitialComputation 0 146 561
4.Internal+External WorkStealingComputation 0 146 1410
4.Internal+External InitialComputation 0 147 697
4.Internal+External WorkStealingComputation 0 147 1036
4.Internal+External InitialComputation 0 148 835
4.Internal+External WorkStealingComputation 0 148 1080
4.Internal+External InitialComputation 0 149 809
4.Internal+External WorkStealingComputation 0 149 1357
4.Internal+External InitialComputation 0 150 435
4.Internal+External WorkStealingComputation 0 150 1617
4.Internal+External InitialComputation 0 151 848
4.Internal+External WorkStealingComputation 0 151 1115
4.Internal+External InitialComputation 0 152 501
4.Internal+External WorkStealingComputation 0 152 1523
4.Internal+External InitialComputation 0 153 564
4.Internal+External WorkStealingComputation 0 153 1408
4.Internal+External InitialComputation 0 154 597
4.Internal+External WorkStealingComputation 0 154 1311
4.Internal+External InitialComputation 0 155 553
4.Internal+External WorkStealingComputation 0 155 1332
4.Internal+External InitialComputation 0 156 586
4.Internal+External WorkStealingComputation 0 156 1392
4.Internal+External InitialComputation 0 157 627
4.Internal+External WorkStealingComputation 0 157 1102
4.Internal+External InitialComputation 0 158 844
4.Internal+External WorkStealingComputation 0 158 1092
4.Internal+External InitialComputation 0 159 881
4.Internal+External WorkStealingComputation 0 159 1249
4.Internal+External InitialComputation 0 160 619
4.Internal+External WorkStealingComputation 0 160 1437
4.Internal+External InitialComputation 0 161 830
4.Internal+External WorkStealingComputation 0 161 1130
4.Internal+External InitialComputation 0 162 602
4.Internal+External WorkStealingComputation 0 162 1445
4.Internal+External InitialComputation 0 163 391
4.Internal+External WorkStealingComputation 0 163 1584
4.Internal+External InitialComputation 0 164 581
4.Internal+External WorkStealingComputation 0 164 1335
4.Internal+External InitialComputation 0 165 359
4.Internal+External WorkStealingComputation 0 165 1474
4.Internal+External InitialComputation 0 166 574
4.Internal+External WorkStealingComputation 0 166 1409
4.Internal+External InitialComputation 0 167 697
4.Internal+External WorkStealingComputation 0 167 1026
4.Internal+External InitialComputation 0 168 829
4.Internal+External WorkStealingComputation 0 168 1087
4.Internal+External InitialComputation 0 169 836
4.Internal+External WorkStealingComputation 0 169 1238
4.Internal+External InitialComputation 0 170 469
4.Internal+External WorkStealingComputation 0 170 1449
4.Internal+External InitialComputation 0 171 775
4.Internal+External WorkStealingComputation 0 171 1249
4.Internal+External InitialComputation 0 172 575
4.Internal+External WorkStealingComputation 0 172 1465
4.Internal+External InitialComputation 0 173 593
4.Internal+External WorkStealingComputation 0 173 1368
4.Internal+External InitialComputation 0 174 614
4.Internal+External WorkStealingComputation 0 174 1300
4.Internal+External InitialComputation 0 175 516
4.Internal+External WorkStealingComputation 0 175 1377
4.Internal+External InitialComputation 0 176 563
4.Internal+External WorkStealingComputation 0 176 1416
4.Internal+External InitialComputation 0 177 747
4.Internal+External WorkStealingComputation 0 177 1033
4.Internal+External InitialComputation 0 178 798
4.Internal+External WorkStealingComputation 0 178 1116
4.Internal+External InitialComputation 0 179 867
4.Internal+External WorkStealingComputation 0 179 1238
4.Internal+External InitialComputation 0 180 467
4.Internal+External WorkStealingComputation 0 180 1428
4.Internal+External InitialComputation 0 181 824
4.Internal+External WorkStealingComputation 0 181 1112
4.Internal+External InitialComputation 0 182 530
4.Internal+External WorkStealingComputation 0 182 1494
4.Internal+External InitialComputation 0 183 496
4.Internal+External WorkStealingComputation 0 183 1479
4.Internal+External InitialComputation 0 184 581
4.Internal+External WorkStealingComputation 0 184 1328
4.Internal+External InitialComputation 0 185 514
4.Internal+External WorkStealingComputation 0 185 1342
4.Internal+External InitialComputation 0 186 633
4.Internal+External WorkStealingComputation 0 186 1359
4.Internal+External InitialComputation 0 187 628
4.Internal+External WorkStealingComputation 0 187 1099
4.Internal+External InitialComputation 0 188 837
4.Internal+External WorkStealingComputation 0 188 1094
4.Internal+External InitialComputation 0 189 876
4.Internal+External WorkStealingComputation 0 189 1292
4.Internal+External InitialComputation 0 190 461
4.Internal+External WorkStealingComputation 0 190 1456
4.Internal+External InitialComputation 0 191 860
4.Internal+External WorkStealingComputation 0 191 1125
4.Internal+External InitialComputation 0 192 598
4.Internal+External WorkStealingComputation 0 192 1441
4.Internal+External InitialComputation 0 193 478
4.Internal+External WorkStealingComputation 0 193 1530
4.Internal+External InitialComputation 0 194 590
4.Internal+External WorkStealingComputation 0 194 1343
4.Internal+External InitialComputation 0 195 483
4.Internal+External WorkStealingComputation 0 195 1384
4.Internal+External InitialComputation 0 196 623
4.Internal+External WorkStealingComputation 0 196 1355
4.Internal+External InitialComputation 0 197 680
4.Internal+External WorkStealingComputation 0 197 1082
4.Internal+External InitialComputation 0 198 651
4.Internal+External WorkStealingComputation 0 198 1250
4.Internal+External InitialComputation 0 199 797
4.Internal+External WorkStealingComputation 0 199 1239
4.Internal+External InitialComputation 0 200 568
4.Internal+External WorkStealingComputation 0 200 1519
4.Internal+External InitialComputation 0 201 863
4.Internal+External WorkStealingComputation 0 201 1075
4.Internal+External InitialComputation 0 202 557
4.Internal+External WorkStealingComputation 0 202 1483
4.Internal+External InitialComputation 0 203 452
4.Internal+External WorkStealingComputation 0 203 1535
4.Internal+External InitialComputation 0 204 573
4.Internal+External WorkStealingComputation 0 204 1404
4.Internal+External InitialComputation 0 205 528
4.Internal+External WorkStealingComputation 0 205 1365
4.Internal+External InitialComputation 0 206 606
4.Internal+External WorkStealingComputation 0 206 1410
4.Internal+External InitialComputation 0 207 694
4.Internal+External WorkStealingComputation 0 207 1024
4.Internal+External InitialComputation 0 208 818
4.Internal+External WorkStealingComputation 0 208 1109
4.Internal+External InitialComputation 0 209 928
4.Internal+External WorkStealingComputation 0 209 1236
4.Internal+External InitialComputation 0 210 406
4.Internal+External WorkStealingComputation 0 210 1483
4.Internal+External InitialComputation 0 211 897
4.Internal+External WorkStealingComputation 0 211 1128
4.Internal+External InitialComputation 0 212 592
4.Internal+External WorkStealingComputation 0 212 1452
4.Internal+External InitialComputation 0 213 436
4.Internal+External WorkStealingComputation 0 213 1532
4.Internal+External InitialComputation 0 214 495
4.Internal+External WorkStealingComputation 0 214 1416
4.Internal+External InitialComputation 0 215 420
4.Internal+External WorkStealingComputation 0 215 1414
4.Internal+External InitialComputation 0 216 633
4.Internal+External WorkStealingComputation 0 216 1348
4.Internal+External InitialComputation 0 217 694
4.Internal+External WorkStealingComputation 0 217 1022
4.Internal+External InitialComputation 0 218 797
4.Internal+External WorkStealingComputation 0 218 1138
4.Internal+External InitialComputation 0 219 809
4.Internal+External WorkStealingComputation 0 219 1263
4.Internal+External InitialComputation 0 220 563
4.Internal+External WorkStealingComputation 0 220 1480
4.Internal+External InitialComputation 0 221 850
4.Internal+External WorkStealingComputation 0 221 1089
4.Internal+External InitialComputation 0 222 602
4.Internal+External WorkStealingComputation 0 222 1441
4.Internal+External InitialComputation 0 223 538
4.Internal+External WorkStealingComputation 0 223 1423
4.Internal+External InitialComputation 0 224 589
4.Internal+External WorkStealingComputation 0 224 1329
4.Internal+External InitialComputation 0 225 517
4.Internal+External WorkStealingComputation 0 225 1371
4.Internal+External InitialComputation 0 226 633
