breakdown step partitionid runtime
InitialComputation 0 188 419
WorkStealingComputation 0 188 2718
InitialComputation 0 189 402
WorkStealingComputation 0 189 2878
InitialComputation 0 190 509
WorkStealingComputation 0 190 2732
InitialComputation 0 191 925
WorkStealingComputation 0 191 2285
InitialComputation 0 192 444
WorkStealingComputation 0 192 2814
InitialComputation 0 193 945
WorkStealingComputation 0 193 2161
InitialComputation 0 194 621
WorkStealingComputation 0 194 2393
InitialComputation 0 195 915
WorkStealingComputation 0 195 2186
InitialComputation 0 196 853
WorkStealingComputation 0 196 1792
InitialComputation 0 197 1099
WorkStealingComputation 0 197 2185
InitialComputation 0 198 379
WorkStealingComputation 0 198 2765
InitialComputation 0 199 460
WorkStealingComputation 0 199 2875
InitialComputation 0 200 509
WorkStealingComputation 0 200 2714
InitialComputation 0 201 938
WorkStealingComputation 0 201 2255
InitialComputation 0 202 497
WorkStealingComputation 0 202 2822
InitialComputation 0 203 915
WorkStealingComputation 0 203 2188
InitialComputation 0 204 640
WorkStealingComputation 0 204 2373
InitialComputation 0 205 959
WorkStealingComputation 0 205 2161
InitialComputation 0 206 709
WorkStealingComputation 0 206 2076
InitialComputation 0 207 1165
WorkStealingComputation 0 207 2154
InitialComputation 0 208 454
WorkStealingComputation 0 208 2730
InitialComputation 0 209 420
WorkStealingComputation 0 209 2889
InitialComputation 0 210 515
WorkStealingComputation 0 210 2720
InitialComputation 0 211 900
WorkStealingComputation 0 211 2285
InitialComputation 0 212 472
WorkStealingComputation 0 212 2771
InitialComputation 0 213 959
WorkStealingComputation 0 213 2146
InitialComputation 0 214 462
WorkStealingComputation 0 214 2625
InitialComputation 0 215 782
WorkStealingComputation 0 215 2236
InitialComputation 0 216 840
WorkStealingComputation 0 216 1836
InitialComputation 0 217 1099
WorkStealingComputation 0 217 2186
InitialComputation 0 218 312
WorkStealingComputation 0 218 2831
InitialComputation 0 219 507
WorkStealingComputation 0 219 2835
InitialComputation 0 220 480
WorkStealingComputation 0 220 2720
InitialComputation 0 221 901
WorkStealingComputation 0 221 2284
InitialComputation 0 222 488
WorkStealingComputation 0 222 2773
InitialComputation 0 223 981
WorkStealingComputation 0 223 2125
InitialComputation 0 224 629
WorkStealingComputation 0 224 2562
InitialComputation 0 225 769
WorkStealingComputation 0 225 2218
InitialComputation 0 226 594
WorkStealingComputation 0 226 2075
InitialComputation 0 227 1183
WorkStealingComputation 0 227 2157
InitialComputation 0 228 539
WorkStealingComputation 0 228 2629
InitialComputation 0 229 508
WorkStealingComputation 0 229 2836
InitialComputation 0 230 488
