sys alg graph depth mem
arabesque cliques youtube 4 90.174121491611
arabesque cliques youtube 4 90.1755798086524
arabesque cliques youtube 4 90.19947343319654
arabesque cliques youtube 4 90.33092671632767
arabesque cliques youtube 4 90.45184629410505
arabesque cliques youtube 4 90.81882417201996
arabesque cliques youtube 4 90.81960541754961
arabesque cliques youtube 4 91.02168280631304
arabesque cliques youtube 4 91.06705729663372
arabesque cliques youtube 4 91.12253335118294
arabesque cliques youtube 4 91.18861979991198
arabesque cliques youtube 4 91.44646202027798
arabesque cliques youtube 4 91.46628758311272
arabesque cliques youtube 4 91.73204119503498
arabesque cliques youtube 4 91.88064755499363
arabesque cliques youtube 4 91.89389910548925
arabesque cliques youtube 4 91.96849429607391
arabesque cliques youtube 4 92.06053967028856
arabesque cliques youtube 4 92.07342030853033
arabesque cliques youtube 4 92.2241218239069
arabesque cliques youtube 4 92.3857815489173
arabesque cliques youtube 4 92.50549314171076
arabesque cliques youtube 4 92.62474552541971
arabesque cliques youtube 4 92.63504039496183
arabesque cliques youtube 4 92.65423136949539
arabesque cliques youtube 4 92.77433849871159
arabesque cliques youtube 4 92.90263602882624
arabesque cliques youtube 4 92.90912853181362
arabesque cliques youtube 4 93.08123767375946
arabesque cliques youtube 4 93.08649761974812
arabesque cliques youtube 4 93.10657370835543
arabesque cliques youtube 4 93.13036463409662
arabesque cliques youtube 4 93.22085984796286
arabesque cliques youtube 4 93.23507063090801
arabesque cliques youtube 4 93.34167775511742
arabesque cliques youtube 4 93.4304888099432
arabesque cliques youtube 4 93.52150558680296
arabesque cliques youtube 4 93.62513460963964
arabesque cliques youtube 4 93.66017255932093
arabesque cliques youtube 4 93.67072574794292
arabesque cliques youtube 4 93.71890027821064
arabesque cliques youtube 4 93.82997623831034
arabesque cliques youtube 4 93.88503628969193
arabesque cliques youtube 4 93.8959876820445
arabesque cliques youtube 4 93.96353382617235
arabesque cliques youtube 4 93.97432565689087
arabesque cliques youtube 4 94.05761667340994
arabesque cliques youtube 4 94.09452018886805
arabesque cliques youtube 4 94.16953045874834
arabesque cliques youtube 4 94.2018688172102
arabesque cliques youtube 4 94.2937621101737
arabesque cliques youtube 4 94.30466151982546
arabesque cliques youtube 4 94.50336284190416
arabesque cliques youtube 4 94.50748324394226
arabesque cliques youtube 4 94.55223958939314
arabesque cliques youtube 4 94.59296850860119
arabesque cliques youtube 4 94.71025869250298
arabesque cliques youtube 4 94.83212812244892
arabesque cliques youtube 4 94.92028150707483
arabesque cliques youtube 4 94.98259937018156
arabesque cliques youtube 4 95.00536458194256
arabesque cliques youtube 4 95.02098961174488
arabesque cliques youtube 4 95.15004820376635
arabesque cliques youtube 4 95.20848771184683
arabesque cliques youtube 4 95.28000728040934
arabesque cliques youtube 4 95.30214282125235
arabesque cliques youtube 4 95.30223961174488
arabesque cliques youtube 4 95.38918270170689
arabesque cliques youtube 4 95.39036926627159
arabesque cliques youtube 4 95.39327514916658
arabesque cliques youtube 4 95.39847008883953
arabesque cliques youtube 4 95.44898281991482
arabesque cliques youtube 4 95.48561441153288
arabesque cliques youtube 4 95.50536461919546
arabesque cliques youtube 4 95.57669772952795
arabesque cliques youtube 4 95.6246335953474
arabesque cliques youtube 4 95.65048511326313
arabesque cliques youtube 4 95.6691388040781
arabesque cliques youtube 4 95.70079378783703
arabesque cliques youtube 4 95.73018437623978
arabesque cliques youtube 4 96.1534552872181
arabesque cliques youtube 4 96.50084816664457
arabesque cliques youtube 4 96.55656599253416
arabesque cliques youtube 4 96.72411272674799
arabesque cliques youtube 4 96.77099159359932
arabesque cliques youtube 4 96.84757409244776
arabesque cliques youtube 4 96.92594154179096
arabesque cliques youtube 4 96.94270042330027
arabesque cliques youtube 4 96.96635955572128
arabesque cliques youtube 4 96.97179195284843
arabesque cliques youtube 4 97.00334352254868
arabesque cliques youtube 4 97.03431056439877
arabesque cliques youtube 4 97.07189808040857
arabesque cliques youtube 4 97.19897437095642
arabesque cliques youtube 4 97.24673864245415
