sys alg graph depth mem
arabesque motifs youtube 4 11.342429779469967
arabesque motifs youtube 4 11.354668095707893
arabesque motifs youtube 4 11.398669436573982
arabesque motifs youtube 4 11.402660004794598
arabesque motifs youtube 4 11.414294444024563
arabesque motifs youtube 4 11.448411390185356
arabesque motifs youtube 4 11.493000715970993
arabesque motifs youtube 4 11.542161390185356
arabesque motifs youtube 4 11.611191362142563
arabesque motifs youtube 4 11.621800921857357
arabesque motifs youtube 4 11.635911390185356
arabesque motifs youtube 4 11.645473897457123
arabesque motifs youtube 4 11.67839877307415
arabesque motifs youtube 4 11.689491115510464
arabesque motifs youtube 4 11.714599415659904
arabesque motifs youtube 4 11.733649805188179
arabesque motifs youtube 4 11.74241752922535
arabesque motifs youtube 4 11.746038228273392
arabesque motifs youtube 4 11.793469667434692
arabesque motifs youtube 4 11.808207124471664
arabesque motifs youtube 4 11.81340129673481
arabesque motifs youtube 4 11.814414210617542
arabesque motifs youtube 4 11.865412570536137
arabesque motifs youtube 4 11.871554248034954
arabesque motifs youtube 4 11.902067519724369
arabesque motifs youtube 4 11.98112128674984
arabesque motifs youtube 4 11.99576698243618
arabesque motifs youtube 4 12.003630451858044
arabesque motifs youtube 4 12.089560575783253
arabesque motifs youtube 4 12.098341695964336
arabesque motifs youtube 4 12.107795506715775
arabesque motifs youtube 4 12.117103591561317
arabesque motifs youtube 4 12.15231627970934
arabesque motifs youtube 4 12.155153028666973
arabesque motifs youtube 4 12.19902577996254
arabesque motifs youtube 4 12.307030759751797
arabesque motifs youtube 4 12.342402778565884
arabesque motifs youtube 4 12.454934366047382
arabesque motifs youtube 4 12.47252158075571
arabesque motifs youtube 4 12.525694996118546
arabesque motifs youtube 4 12.599502332508564
arabesque motifs youtube 4 12.605288036167622
arabesque motifs youtube 4 12.626814134418964
arabesque motifs youtube 4 12.687908574938774
arabesque motifs youtube 4 12.708391569554806
arabesque motifs youtube 4 12.783224433660507
arabesque motifs youtube 4 12.790208108723164
arabesque motifs youtube 4 12.856204971671104
arabesque motifs youtube 4 12.857005029916763
arabesque motifs youtube 4 12.871294423937798
arabesque motifs youtube 4 12.885065108537674
arabesque motifs youtube 4 12.970591627061367
arabesque motifs youtube 4 13.016078308224678
arabesque motifs youtube 4 13.016703054308891
arabesque motifs youtube 4 13.037771873176098
arabesque motifs youtube 4 13.05491752922535
arabesque motifs youtube 4 13.054936647415161
arabesque motifs youtube 4 13.065563894808292
arabesque motifs youtube 4 13.098598890006542
arabesque motifs youtube 4 13.11975333839655
arabesque motifs youtube 4 13.14243433624506
arabesque motifs youtube 4 13.230786934494972
arabesque motifs youtube 4 13.278134614229202
arabesque motifs youtube 4 13.279380671679974
arabesque motifs youtube 4 13.289794407784939
arabesque motifs youtube 4 13.29868532717228
arabesque motifs youtube 4 13.314491115510464
arabesque motifs youtube 4 13.345418319106102
arabesque motifs youtube 4 13.389047414064407
arabesque motifs youtube 4 13.41429253667593
arabesque motifs youtube 4 13.439510829746723
arabesque motifs youtube 4 13.477624990046024
arabesque motifs youtube 4 13.48112128674984
arabesque motifs youtube 4 13.497896432876587
arabesque motifs youtube 4 13.519257351756096
arabesque motifs youtube 4 13.529929779469967
arabesque motifs youtube 4 13.530153028666973
arabesque motifs youtube 4 13.595762372016907
arabesque motifs youtube 4 13.658755101263523
arabesque motifs youtube 4 13.736291110515594
arabesque motifs youtube 4 13.752009369432926
arabesque motifs youtube 4 13.772532843053341
arabesque motifs youtube 4 13.789778977632523
arabesque motifs youtube 4 13.891003631055355
arabesque motifs youtube 4 13.923684366047382
arabesque motifs youtube 4 13.959285341203213
arabesque motifs youtube 4 13.995896831154823
arabesque motifs youtube 4 14.00982467085123
arabesque motifs youtube 4 14.02512127161026
arabesque motifs youtube 4 14.067234471440315
arabesque motifs youtube 4 14.095899507403374
arabesque motifs youtube 4 14.147585853934288
arabesque motifs youtube 4 14.214818239212036
arabesque motifs youtube 4 14.277846850454807
arabesque motifs youtube 4 14.279678151011467
arabesque motifs youtube 4 14.283310294151306
arabesque motifs youtube 4 14.289294429123402
arabesque motifs youtube 4 14.30126316100359
arabesque motifs youtube 4 14.33308719098568
arabesque motifs youtube 4 14.412781588733196
arabesque motifs youtube 4 14.465565457940102
arabesque motifs youtube 4 14.470561265945435
arabesque motifs youtube 4 14.49001158028841
arabesque motifs youtube 4 14.589033477008343
arabesque motifs youtube 4 14.643887504935265
arabesque motifs youtube 4 14.645475804805756
arabesque motifs youtube 4 14.658081084489822
arabesque motifs youtube 4 14.720741115510464
arabesque motifs youtube 4 14.795776128768921
arabesque motifs youtube 4 14.814452730119228
arabesque motifs youtube 4 14.864918634295464
arabesque motifs youtube 4 14.895892821252346
arabesque motifs youtube 4 14.903050921857357
arabesque motifs youtube 4 14.920299351215363
arabesque motifs youtube 4 14.939819760620594
arabesque motifs youtube 4 14.96516191214323
arabesque motifs youtube 4 14.986551761627197
arabesque motifs youtube 4 15.050526946783066
arabesque motifs youtube 4 15.05462796241045
arabesque motifs youtube 4 15.087216645479202
arabesque motifs youtube 4 15.121748186647892
arabesque motifs youtube 4 15.14868238568306
arabesque motifs youtube 4 15.156830132007599
arabesque motifs youtube 4 15.158194981515408
arabesque motifs youtube 4 15.189244322478771
arabesque motifs youtube 4 15.19604890793562
arabesque motifs youtube 4 15.312908574938774
arabesque motifs youtube 4 15.314570404589176
arabesque motifs youtube 4 15.367462545633316
arabesque motifs youtube 4 15.371884614229202
arabesque motifs youtube 4 15.389559775590897
arabesque motifs youtube 4 15.389839597046375
arabesque motifs youtube 4 15.43677283078432
arabesque motifs youtube 4 15.439446955919266
arabesque motifs youtube 4 15.54868433624506
arabesque motifs youtube 4 15.548791110515594
arabesque motifs youtube 4 15.599498465657234
arabesque motifs youtube 4 15.611047312617302
arabesque motifs youtube 4 15.62343081086874
arabesque motifs youtube 4 15.642457656562328
arabesque motifs youtube 4 15.706893406808376
arabesque motifs youtube 4 15.72086925059557
arabesque motifs youtube 4 15.770475789904594
arabesque motifs youtube 4 15.777146831154823
arabesque motifs youtube 4 15.786654271185398
arabesque motifs youtube 4 15.808794423937798
arabesque motifs youtube 4 15.81464547663927
arabesque motifs youtube 4 15.817891761660576
arabesque motifs youtube 4 15.845781087875366
arabesque motifs youtube 4 15.869444996118546
arabesque motifs youtube 4 15.902728781104088
arabesque motifs youtube 4 15.908313147723675
arabesque motifs youtube 4 15.952454045414925
arabesque motifs youtube 4 15.956517241895199
arabesque motifs youtube 4 15.965565137565136
arabesque motifs youtube 4 15.971532434225082
arabesque motifs youtube 4 16.017465867102146
arabesque motifs youtube 4 16.028145723044872
arabesque motifs youtube 4 16.111190110445023
arabesque motifs youtube 4 16.184714265167713
arabesque motifs youtube 4 16.192350797355175
arabesque motifs youtube 4 16.204934366047382
arabesque motifs youtube 4 16.21478822827339
arabesque motifs youtube 4 16.21564134210348
arabesque motifs youtube 4 16.232501789927483
arabesque motifs youtube 4 16.248422406613827
arabesque motifs youtube 4 16.283082872629166
arabesque motifs youtube 4 16.298684366047382
arabesque motifs youtube 4 16.329728588461876
arabesque motifs youtube 4 16.343822985887527
arabesque motifs youtube 4 16.345666117966175
arabesque motifs youtube 4 16.366833955049515
arabesque motifs youtube 4 16.378063894808292
arabesque motifs youtube 4 16.392436265945435
arabesque motifs youtube 4 16.402164936065674
arabesque motifs youtube 4 16.40313845127821
arabesque motifs youtube 4 16.412936724722385
arabesque motifs youtube 4 16.414321586489677
arabesque motifs youtube 4 16.47083330899477
arabesque motifs youtube 4 16.55119051784277
arabesque motifs youtube 4 16.558962881565094
arabesque motifs youtube 4 16.590636521577835
arabesque motifs youtube 4 16.66862128674984
arabesque motifs youtube 4 16.672251611948013
arabesque motifs youtube 4 16.691130451858044
arabesque motifs youtube 4 16.746886521577835
arabesque motifs youtube 4 16.770359478890896
arabesque motifs youtube 4 16.903140410780907
